Original: get|permission , predicted 1st: get|permission
Original: send|http|request , predicted 1st: http|http|request
Original: cancel|http|request , predicted 1st: request|request
Original: new|server|socket , predicted 1st: create|server|server
Original: new|server|socket , predicted 1st: create|server|server
Original: new|client|socket , predicted 1st: create
Original: open|uri , predicted 1st: create
Original: run , predicted 1st: run
Original: create , predicted 1st: run
Original: run , predicted 1st: run
Original: render , predicted 1st: clear
Original: pause , predicted 1st: dispose|resources
Original: resume , predicted 1st: run
Original: new|object , predicted 1st: create
Original: obtain , predicted 1st: to|string
Original: flush , predicted 1st: clear
Original: analyze , predicted 1st: compute
Original: get|renderables , predicted 1st: get
Original: prepare|camera , predicted 1st: set
Original: compute|result , predicted 1st: set
Original: draw , predicted 1st: update
Original: get|left|width , predicted 1st: get|left|width
Original: set|left|width , predicted 1st: set|left|width
Original: get|right|width , predicted 1st: get|right|width
Original: set|right|width , predicted 1st: set|right|width
Original: get|top|height , predicted 1st: get|top|height
Original: set|top|height , predicted 1st: set|top|height
Original: get|bottom|height , predicted 1st: get|bottom|height
Original: set|bottom|height , predicted 1st: set|bottom|height
Original: get|min|width , predicted 1st: get|min|width
Original: set|min|width , predicted 1st: set|min|width
Original: get|min|height , predicted 1st: get|min|height
Original: set|min|height , predicted 1st: set|min|height
Original: get|name , predicted 1st: get|name
Original: set|name , predicted 1st: set|name
Original: to|string , predicted 1st: get|class|name
Original: state|init , predicted 1st: get
Original: state|update|char , predicted 1st: get|index
Original: state|update|match , predicted 1st: get|column|count
Original: state|update|rep , predicted 1st: get|column|count
Original: state|update|short|rep , predicted 1st: get|column|count
Original: state|is|char|state , predicted 1st: is
Original: get|len|to|pos|state , predicted 1st: 
Original: get|attribute|type , predicted 1st: compare
Original: get|attribute|alias , predicted 1st: get|type
Original: register , predicted 1st: get|attribute|type
Original: equals , predicted 1st: equals
Original: equals , predicted 1st: equals
Original: to|string , predicted 1st: get|alias|alias
Original: hash|code , predicted 1st: get|text|length
Original: dispose , predicted 1st: stop
Original: is|mono , predicted 1st: is
Original: write|samples , predicted 1st: write
Original: write|samples , predicted 1st: write
Original: get|latency , predicted 1st: get
Original: set|volume , predicted 1st: set
Original: choose , predicted 1st: do|set
Original: get|range|select , predicted 1st: is|select|select
Original: set|range|select , predicted 1st: set|select|select
Original: validate , predicted 1st: remove
Original: set|color , predicted 1st: set|float
Original: set|color , predicted 1st: set|color
Original: create , predicted 1st: run
Original: render , predicted 1st: run
Original: run , predicted 1st: run
Original: dispose , predicted 1st: dispose|resources
Original: get|apk|expansion|files , predicted 1st: get
Original: get|resource|zip|file , predicted 1st: get|file
Original: get|apk|expansion|zip|file , predicted 1st: get|file
Original: get|color , predicted 1st: get|color
Original: set|color , predicted 1st: set|color|color|color
Original: set|color , predicted 1st: set|float
Original: get|shader , predicted 1st: 
Original: dispose , predicted 1st: dispose|resources
Original: create , predicted 1st: load
Original: render , predicted 1st: run
Original: load|font , predicted 1st: load
Original: on|create , predicted 1st: create
Original: on|list|item|click , predicted 1st: add
Original: dispose , predicted 1st: release
Original: is|looping , predicted 1st: is
Original: is|playing , predicted 1st: is
Original: pause , predicted 1st: stop
Original: play , predicted 1st: start
Original: set|looping , predicted 1st: set
Original: set|volume , predicted 1st: set
Original: get|volume , predicted 1st: get
Original: set|pan , predicted 1st: 
Original: stop , predicted 1st: stop
Original: set|position , predicted 1st: 
Original: get|position , predicted 1st: get|current|position
Original: get|duration , predicted 1st: get
Original: set|on|completion|listener , predicted 1st: add|completion|listener|listener
Original: on|completion , predicted 1st: on|completion
Original: run , predicted 1st: run|completion
Original: add|constructor , predicted 1st: add|constructor
Original: get|constructor , predicted 1st: get
Original: add , predicted 1st: add|entity
Original: add , predicted 1st: get|entity
Original: add , predicted 1st: transform
Original: render , predicted 1st: render
Original: render , predicted 1st: render
Original: render , predicted 1st: render
Original: update , predicted 1st: foo
Original: dispose , predicted 1st: clear
Original: get|contents , predicted 1st: get|text
Original: set|contents , predicted 1st: set|up
Original: run , predicted 1st: run
Original: put|boolean , predicted 1st: set
Original: put|integer , predicted 1st: put
Original: put|long , predicted 1st: put
Original: put|float , predicted 1st: put|float
Original: put|string , predicted 1st: set
Original: put , predicted 1st: get|value
Original: get|boolean , predicted 1st: get|boolean
Original: get|integer , predicted 1st: get|int
Original: get|long , predicted 1st: get|long
Original: get|float , predicted 1st: get|float
Original: get|string , predicted 1st: get|string
Original: get|boolean , predicted 1st: get|boolean
Original: get|integer , predicted 1st: get|int
Original: get|long , predicted 1st: get|long
Original: get|float , predicted 1st: get|float
Original: get|string , predicted 1st: get|string
Original: get , predicted 1st: get|all
Original: contains , predicted 1st: contains
Original: clear , predicted 1st: dispose|resources
Original: flush , predicted 1st: apply
Original: remove , predicted 1st: remove
Original: edit , predicted 1st: edit
Original: on|generic|motion , predicted 1st: 
Original: log|action , predicted 1st: action
Original: post|touch|event , predicted 1st: set|time|stamp
Original: allocate|channels , predicted 1st: init
Original: copy , predicted 1st: create
Original: is|compatible , predicted 1st: is|batch
Original: initialize , predicted 1st: init
Original: on|pause , predicted 1st: on
Original: on|resume , predicted 1st: resume
Original: on|destroy , predicted 1st: dispose
Original: get|window|manager , predicted 1st: get|window|manager
Original: get|service , predicted 1st: get|service
Original: get|application|listener , predicted 1st: get|listener|listener
Original: post|runnable , predicted 1st: add
Original: get|audio , predicted 1st: get
Original: get|files , predicted 1st: get|files
Original: get|graphics , predicted 1st: get
Original: get|input , predicted 1st: get|input
Original: get|net , predicted 1st: get
Original: get|type , predicted 1st: get|application|type
Original: get|version , predicted 1st: get
Original: get|java|heap , predicted 1st: get|memory|memory
Original: get|native|heap , predicted 1st: get|heap|size
Original: get|preferences , predicted 1st: get|preferences
Original: get|clipboard , predicted 1st: get
Original: debug , predicted 1st: log
Original: debug , predicted 1st: log
Original: log , predicted 1st: log
Original: log , predicted 1st: log
Original: error , predicted 1st: log
Original: error , predicted 1st: log
Original: set|log|level , predicted 1st: set|log|level
Original: get|log|level , predicted 1st: get|log|level
Original: exit , predicted 1st: dispose|resources
Original: add|lifecycle|listener , predicted 1st: add|lifecycle|listener|listener
Original: remove|lifecycle|listener , predicted 1st: remove|lifecycle|listener|listener
Original: get|context , predicted 1st: get|service|context
Original: get|runnables , predicted 1st: get
Original: get|executed|runnables , predicted 1st: get
Original: get|lifecycle|listeners , predicted 1st: get|lifecycle|listeners
Original: start|activity , predicted 1st: start
Original: get|application|window , predicted 1st: get|window
Original: get|handler , predicted 1st: get|handler|handler
Original: run|on|ui|thread , predicted 1st: do|post|execute
Original: use|immersive|mode , predicted 1st: set
Original: update , predicted 1st: 
Original: create , predicted 1st: test
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose
Original: dispose , predicted 1st: run
Original: play , predicted 1st: get
Original: play , predicted 1st: get|stream|id|stream
Original: stop , predicted 1st: stop|ids|ids
Original: stop , predicted 1st: stop
Original: pause , predicted 1st: auto|pause
Original: pause , predicted 1st: pause
Original: resume , predicted 1st: resume
Original: resume , predicted 1st: resume
Original: set|pitch , predicted 1st: set
Original: set|volume , predicted 1st: set
Original: loop , predicted 1st: get
Original: loop , predicted 1st: get|stream|stream
Original: set|looping , predicted 1st: set
Original: set|pan , predicted 1st: 
Original: play , predicted 1st: 
Original: loop , predicted 1st: insert
Original: set|priority , predicted 1st: set|priority
Original: create , predicted 1st: setup
Original: render , predicted 1st: test
Original: dispose , predicted 1st: dispose|resources
Original: needs|gl , predicted 1st: is
Original: resume , predicted 1st: foo
Original: resize , predicted 1st: set|width
Original: pause , predicted 1st: foo
Original: pause , predicted 1st: pause
Original: resume , predicted 1st: resume
Original: new|audio|device , predicted 1st: get
Original: new|music , predicted 1st: get
Original: new|music , predicted 1st: prepare
Original: new|sound , predicted 1st: get
Original: new|audio|recorder , predicted 1st: create
Original: dispose , predicted 1st: release
Original: create , predicted 1st: run
Original: run , predicted 1st: run
Original: dispose , predicted 1st: run
Original: main , predicted 1st: main
Original: traverse , predicted 1st: process
Original: set|use|browser|cache , predicted 1st: set|use|browser
Original: is|use|browser|cache , predicted 1st: is|use|browser
Original: set|use|inline|base , predicted 1st: set|use|base
Original: is|use|inline|base , predicted 1st: is|use|base
Original: load , predicted 1st: load
Original: load|text , predicted 1st: on|success
Original: on|ready|state|change , predicted 1st: on|success
Original: load|binary , predicted 1st: create|request|handler
Original: on|ready|state|change , predicted 1st: on|success
Original: load|audio , predicted 1st: on|success
Original: on|progress , predicted 1st: on|progress
Original: on|failure , predicted 1st: on|failure
Original: on|success , predicted 1st: on|success
Original: load|image , predicted 1st: on|event
Original: on|progress , predicted 1st: on|progress
Original: on|failure , predicted 1st: on|failure
Original: on|success , predicted 1st: on|success
Original: on|event , predicted 1st: on|event
Original: on|event , predicted 1st: on|event
Original: create , predicted 1st: init
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose|resources
Original: create , predicted 1st: 
Original: done|loading , predicted 1st: init
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose|resources
Original: initialize , predicted 1st: init
Original: get|asset|file|descriptor , predicted 1st: get|asset|file|descriptor
Original: get|path , predicted 1st: get|path
Original: read , predicted 1st: get|input|stream
Original: child , predicted 1st: create|zip|file
Original: sibling , predicted 1st: get|file
Original: parent , predicted 1st: get|file
Original: list , predicted 1st: get
Original: list , predicted 1st: get
Original: list , predicted 1st: get
Original: list , predicted 1st: get
Original: is|directory , predicted 1st: is
Original: length , predicted 1st: get|length
Original: exists , predicted 1st: is|modified
Original: add , predicted 1st: set|node
Original: add , predicted 1st: add|float
Original: peek , predicted 1st: get
Original: pop , predicted 1st: remove
Original: remove , predicted 1st: remove
Original: remove , predicted 1st: remove
Original: clear , predicted 1st: clear
Original: set|value , predicted 1st: set|value
Original: up , predicted 1st: set|index
Original: down , predicted 1st: index|to
Original: equals , predicted 1st: equals
Original: hash|code , predicted 1st: hash|code
Original: to|string , predicted 1st: get|text
Original: get|value , predicted 1st: get|value
Original: to|string , predicted 1st: get|value
Original: clamp , predicted 1st: 
Original: set , predicted 1st: set
Original: set , predicted 1st: 
Original: set , predicted 1st: get|color|color
Original: set , predicted 1st: set|float
Original: get|color , predicted 1st: get|color|color
Original: clear , predicted 1st: get
Original: clamp , predicted 1st: 
Original: add , predicted 1st: float
Original: add , predicted 1st: get|color|color
Original: add , predicted 1st: 
Original: add , predicted 1st: 
Original: add , predicted 1st: 
Original: add , predicted 1st: 
Original: add , predicted 1st: 
Original: add , predicted 1st: 
Original: to|string , predicted 1st: to|string
Original: create , predicted 1st: test
Original: tap , predicted 1st: 
Original: unannotated|method , predicted 1st: get
Original: annotated|method , predicted 1st: method|method
Original: create , predicted 1st: run
Original: println , predicted 1st: handle|line
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose
Original: sort , predicted 1st: sort
Original: get|mask , predicted 1st: get|mask
Original: get , predicted 1st: get|attribute
Original: get , predicted 1st: get
Original: get , predicted 1st: get|attribute
Original: clear , predicted 1st: clear
Original: size , predicted 1st: get|size
Original: enable , predicted 1st: set|mask
Original: disable , predicted 1st: set|mask
Original: set , predicted 1st: set|attribute
Original: set , predicted 1st: set|attribute
Original: set , predicted 1st: set|attribute
Original: set , predicted 1st: set|attribute
Original: set , predicted 1st: set|attributes
Original: set , predicted 1st: set|attributes
Original: remove , predicted 1st: remove
Original: has , predicted 1st: is
Original: index|of , predicted 1st: get
Original: same , predicted 1st: compare
Original: same , predicted 1st: same
Original: compare , predicted 1st: attribute
Original: iterator , predicted 1st: get|attributes|iterator
Original: attributes|hash , predicted 1st: hash|code
Original: hash|code , predicted 1st: hash|code
Original: equals , predicted 1st: equals
Original: compare|to , predicted 1st: compare|to
Original: tap , predicted 1st: 
Original: long|press , predicted 1st: 
Original: fling , predicted 1st: 
Original: pan , predicted 1st: 
Original: zoom , predicted 1st: distance
Original: pinch , predicted 1st: 
Original: stage|to|local|amount , predicted 1st: 
Original: handle , predicted 1st: update
Original: touch|down , predicted 1st: handle|double|necessary
Original: touch|up , predicted 1st: handle|double|necessary
Original: tap , predicted 1st: handle|double|necessary
Original: long|press , predicted 1st: is
Original: fling , predicted 1st: input|event
Original: pan , predicted 1st: input
Original: zoom , predicted 1st: handle|double|double
Original: pinch , predicted 1st: add
Original: get|gesture|detector , predicted 1st: get
Original: get|touch|down|target , predicted 1st: get|target|down
Original: get|map , predicted 1st: get|map
Original: set|map , predicted 1st: set|map
Original: get|unit|scale , predicted 1st: get|scale
Original: get|batch , predicted 1st: get|batch
Original: get|view|bounds , predicted 1st: get|view|view
Original: set|view , predicted 1st: set
Original: set|view , predicted 1st: set|projection
Original: render , predicted 1st: render
Original: render , predicted 1st: set|render
Original: render|objects , predicted 1st: set
Original: render|object , predicted 1st: set|object
Original: render|image|layer , predicted 1st: set
Original: begin|render , predicted 1st: test
Original: end|render , predicted 1st: end
Original: dispose , predicted 1st: dispose
Original: init , predicted 1st: set|models
Original: decode , predicted 1st: compare
Original: reverse|decode , predicted 1st: decode
Original: reverse|decode , predicted 1st: trim
Original: get|dependencies , predicted 1st: get
Original: load|async , predicted 1st: handle|file
Original: load|sync , predicted 1st: create|font
Original: get|decoding|map , predicted 1st: get|map
Original: get|encoding|map , predicted 1st: get|encoding|map
Original: encode|string , predicted 1st: encode|string
Original: encode|string , predicted 1st: encode
Original: encode|lines , predicted 1st: encode|line|line
Original: encode|lines , predicted 1st: line|line
Original: encode|lines , predicted 1st: append
Original: encode , predicted 1st: encode
Original: encode , predicted 1st: encode
Original: encode , predicted 1st: encode
Original: encode , predicted 1st: encode
Original: encode , predicted 1st: encode
Original: encode , predicted 1st: get|int
Original: decode|string , predicted 1st: decode|string
Original: decode|string , predicted 1st: decode
Original: decode|lines , predicted 1st: decode
Original: decode|lines , predicted 1st: decode|char
Original: decode|lines , predicted 1st: decode|char
Original: decode , predicted 1st: decode
Original: decode , predicted 1st: decode
Original: decode , predicted 1st: decode|char
Original: decode , predicted 1st: decode
Original: decode , predicted 1st: decode
Original: decode , predicted 1st: decode
Original: decode , predicted 1st: 
Original: get|type , predicted 1st: get|type
Original: set|type , predicted 1st: set|type
Original: get|user|data , predicted 1st: get|user|data
Original: set|user|data , predicted 1st: set|user|data
Original: get|position , predicted 1st: get|position
Original: set|position , predicted 1st: set|position
Original: get|angle , predicted 1st: get
Original: set|angle , predicted 1st: set
Original: get|linear|velocity , predicted 1st: get
Original: set|linear|velocity , predicted 1st: set
Original: get|angular|velocity , predicted 1st: get
Original: set|angular|velocity , predicted 1st: set
Original: get|linear|damping , predicted 1st: get
Original: set|linear|damping , predicted 1st: set
Original: get|angular|damping , predicted 1st: get
Original: set|angular|damping , predicted 1st: set
Original: is|allow|sleep , predicted 1st: is|allow
Original: set|allow|sleep , predicted 1st: set|allow
Original: is|awake , predicted 1st: is
Original: set|awake , predicted 1st: set
Original: is|fixed|rotation , predicted 1st: is
Original: set|fixed|rotation , predicted 1st: set|fixed
Original: is|bullet , predicted 1st: is
Original: set|bullet , predicted 1st: set
Original: is|active , predicted 1st: is|active
Original: set|active , predicted 1st: set|active
Original: get|gravity|scale , predicted 1st: get|scale
Original: set|gravity|scale , predicted 1st: set|scale
Original: set , predicted 1st: 
Original: is|valid , predicted 1st: is|valid
Original: get|center , predicted 1st: get
Original: get|center|to|out , predicted 1st: 
Original: get|extents , predicted 1st: get
Original: get|extents|to|out , predicted 1st: 
Original: get|vertices , predicted 1st: 
Original: combine , predicted 1st: 
Original: get|perimeter , predicted 1st: get
Original: combine , predicted 1st: x
Original: contains , predicted 1st: is|bound
Original: raycast , predicted 1st: 
Original: raycast , predicted 1st: 
Original: test|overlap , predicted 1st: 
Original: to|string , predicted 1st: to|string
Original: call , predicted 1st: resolve
Original: update , predicted 1st: is
Original: handle|sync|loader , predicted 1st: run
Original: handle|async|loader , predicted 1st: execute
Original: resolve , predicted 1st: resolve
Original: get|asset , predicted 1st: get|asset
Original: remove|duplicates , predicted 1st: remove|by
Original: on|attach , predicted 1st: on|attach
Original: on|detach , predicted 1st: on
Original: create|layout|params , predicted 1st: get|layout
Original: create|wake|lock , predicted 1st: add
Original: use|immersive|mode , predicted 1st: create|view
Original: initialize|for|view , predicted 1st: create|view|for
Original: initialize|for|view , predicted 1st: create
Original: resume , predicted 1st: resume
Original: pause , predicted 1st: pause
Original: dispose , predicted 1st: dispose|resources
Original: on|pause , predicted 1st: do
Original: on|resume , predicted 1st: on|resume
Original: get|application|listener , predicted 1st: get|listener|listener
Original: get|audio , predicted 1st: get
Original: get|files , predicted 1st: get|files
Original: get|graphics , predicted 1st: get
Original: get|input , predicted 1st: get|input
Original: get|net , predicted 1st: get
Original: get|type , predicted 1st: get|application|type
Original: get|version , predicted 1st: get
Original: get|java|heap , predicted 1st: get|memory|memory
Original: get|native|heap , predicted 1st: get|heap|size
Original: get|preferences , predicted 1st: get|preferences
Original: get|clipboard , predicted 1st: get
Original: post|runnable , predicted 1st: add
Original: on|configuration|changed , predicted 1st: apply|configuration|changed
Original: exit , predicted 1st: run
Original: run , predicted 1st: exit
Original: debug , predicted 1st: log
Original: debug , predicted 1st: log
Original: log , predicted 1st: log
Original: log , predicted 1st: log
Original: error , predicted 1st: log
Original: error , predicted 1st: log
Original: set|log|level , predicted 1st: set|log|level
Original: get|log|level , predicted 1st: get|log|level
Original: add|lifecycle|listener , predicted 1st: add|lifecycle|listener|listener
Original: remove|lifecycle|listener , predicted 1st: remove|lifecycle|listener|listener
Original: get|context , predicted 1st: get|context
Original: get|runnables , predicted 1st: get
Original: get|executed|runnables , predicted 1st: get
Original: run|on|ui|thread , predicted 1st: run|on|run
Original: get|lifecycle|listeners , predicted 1st: get|lifecycle|listeners
Original: on|activity|result , predicted 1st: on|result
Original: add|android|event|listener , predicted 1st: add|event|listener|listener
Original: remove|android|event|listener , predicted 1st: remove|event|listener|listener
Original: get|application|window , predicted 1st: get|window
Original: get|handler , predicted 1st: get|handler|handler
Original: get|window|manager , predicted 1st: get|window|manager
Original: is|any|parent|fragment|removing , predicted 1st: is|fragment
Original: initialize , predicted 1st: initialize|application|application|application|listener
Original: initialize , predicted 1st: init
Original: initialize|for|view , predicted 1st: create|view|for
Original: initialize|for|view , predicted 1st: create
Original: init , predicted 1st: set
Original: resume , predicted 1st: resume
Original: pause , predicted 1st: pause
Original: dispose , predicted 1st: dispose|resources
Original: create|layout|params , predicted 1st: get|layout
Original: create|wake|lock , predicted 1st: add|flag
Original: hide|status|bar , predicted 1st: create|view
Original: on|dreaming|stopped , predicted 1st: run
Original: on|dreaming|started , predicted 1st: init
Original: on|detached|from|window , predicted 1st: on|window
Original: get|application|listener , predicted 1st: get|listener|listener
Original: get|audio , predicted 1st: get
Original: get|files , predicted 1st: get|files
Original: get|graphics , predicted 1st: get
Original: get|input , predicted 1st: get|input
Original: get|net , predicted 1st: get
Original: get|type , predicted 1st: get|application|type
Original: get|version , predicted 1st: get
Original: get|java|heap , predicted 1st: get|memory|memory
Original: get|native|heap , predicted 1st: get|heap|size
Original: get|preferences , predicted 1st: get|preferences
Original: get|clipboard , predicted 1st: get
Original: post|runnable , predicted 1st: add
Original: on|configuration|changed , predicted 1st: apply|configuration|changed
Original: exit , predicted 1st: run
Original: run , predicted 1st: finish
Original: debug , predicted 1st: log
Original: debug , predicted 1st: log
Original: log , predicted 1st: log
Original: log , predicted 1st: log
Original: error , predicted 1st: log
Original: error , predicted 1st: log
Original: set|log|level , predicted 1st: set|log|level
Original: get|log|level , predicted 1st: get|log|level
Original: add|lifecycle|listener , predicted 1st: add|lifecycle|listener|listener
Original: remove|lifecycle|listener , predicted 1st: remove|lifecycle|listener|listener
Original: get|context , predicted 1st: get|context
Original: get|runnables , predicted 1st: get
Original: get|executed|runnables , predicted 1st: get
Original: get|lifecycle|listeners , predicted 1st: get|lifecycle|listeners
Original: get|application|window , predicted 1st: get|window
Original: get|handler , predicted 1st: get|handler|handler
Original: run|on|ui|thread , predicted 1st: do|post|execute
Original: use|immersive|mode , predicted 1st: set
Original: test|hashcode|and|equals , predicted 1st: test
Original: test|xor , predicted 1st: test|set
Original: test|or , predicted 1st: test
Original: test|and , predicted 1st: test
Original: create , predicted 1st: init
Original: render , predicted 1st: test
Original: dispose , predicted 1st: dispose|resources
Original: init , predicted 1st: load
Original: generate , predicted 1st: build
Original: gather|source|files , predicted 1st: file|files
Original: match , predicted 1st: match
Original: create , predicted 1st: create
Original: create|hud , predicted 1st: init
Original: clicked , predicted 1st: handle|double|double
Original: changed , predicted 1st: on|change
Original: add|list|window , predicted 1st: create|window
Original: get|status , predicted 1st: add
Original: render , predicted 1st: run
Original: resize , predicted 1st: set
Original: dispose , predicted 1st: dispose
Original: clicked , predicted 1st: input|event
Original: expand , predicted 1st: reset
Original: collapse , predicted 1st: reset
Original: toggle|collapsed , predicted 1st: run
Original: is|collapsed , predicted 1st: is|collapsed
Original: create , predicted 1st: init
Original: load , predicted 1st: init
Original: unload , predicted 1st: dispose
Original: invalidate|texture , predicted 1st: 
Original: render , predicted 1st: paint
Original: error , predicted 1st: on|failure
Original: dispose , predicted 1st: dispose
Original: create , predicted 1st: run
Original: create|axes , predicted 1st: 
Original: on|loaded , predicted 1st: foo
Original: render , predicted 1st: do
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose|resources
Original: is , predicted 1st: is
Original: copy , predicted 1st: get|attribute
Original: hash|code , predicted 1st: hash|code
Original: compare|to , predicted 1st: compare|to
Original: set|smoothing , predicted 1st: set
Original: create , predicted 1st: init
Original: render , predicted 1st: test
Original: draw|font , predicted 1st: paint
Original: get|baseline|shift , predicted 1st: get|shift
Original: resize , predicted 1st: set
Original: dispose , predicted 1st: dispose
Original: init , predicted 1st: init
Original: get|pass|shader|provider , predicted 1st: get
Original: get|shader|provider , predicted 1st: get|provider
Original: add|light , predicted 1st: set
Original: add|light , predicted 1st: set
Original: add|light , predicted 1st: add
Original: add|light , predicted 1st: get
